使用设备: cuda
加载CINIC-10数据集...
处理 90000 个图像...
第一个图像类型: <class 'dict'>
图像字典键: ['bytes', 'path']
已处理 0/90000 个图像，成功 1 个
已处理 10000/90000 个图像，成功 10001 个
已处理 20000/90000 个图像，成功 20001 个
已处理 30000/90000 个图像，成功 30001 个
已处理 40000/90000 个图像，成功 40001 个
已处理 50000/90000 个图像，成功 50001 个
已处理 60000/90000 个图像，成功 60001 个
已处理 70000/90000 个图像，成功 70001 个
已处理 80000/90000 个图像，成功 80001 个
成功处理了 90000 个图像，跳过了 0 个图像
处理后图像数组形状: (90000, 32, 32, 3)
处理后标签数组形状: (90000,)
最终图像数组形状: (90000, 3, 32, 32)
处理 90000 个图像...
第一个图像类型: <class 'dict'>
图像字典键: ['bytes', 'path']
已处理 0/90000 个图像，成功 1 个
已处理 10000/90000 个图像，成功 10001 个
已处理 20000/90000 个图像，成功 20001 个
已处理 30000/90000 个图像，成功 30001 个
已处理 40000/90000 个图像，成功 40001 个
已处理 50000/90000 个图像，成功 50001 个
已处理 60000/90000 个图像，成功 60001 个
已处理 70000/90000 个图像，成功 70001 个
已处理 80000/90000 个图像，成功 80001 个
成功处理了 90000 个图像，跳过了 0 个图像
处理后图像数组形状: (90000, 32, 32, 3)
处理后标签数组形状: (90000,)
最终图像数组形状: (90000, 3, 32, 32)
CINIC-10数据集加载和预处理完成.
--- 开始在 cinic10 数据集上进行原版VFL训练 (共 30 个周期) ---
每个周期包含 1407 个批次
周期 [1/30], 批次 [10/1407], 损失: 2.2379, 平均损失: 2.2660
周期 [1/30], 批次 [20/1407], 损失: 2.1261, 平均损失: 2.2026
周期 [1/30], 批次 [30/1407], 损失: 2.0064, 平均损失: 2.1573
周期 [1/30], 批次 [40/1407], 损失: 2.0480, 平均损失: 2.1220
周期 [1/30], 批次 [50/1407], 损失: 2.0006, 平均损失: 2.0972
周期 [1/30], 批次 [60/1407], 损失: 1.9065, 平均损失: 2.0731
周期 [1/30], 批次 [70/1407], 损失: 1.9872, 平均损失: 2.0667
周期 [1/30], 批次 [80/1407], 损失: 2.0064, 平均损失: 2.0503
周期 [1/30], 批次 [90/1407], 损失: 2.0131, 平均损失: 2.0369
周期 [1/30], 批次 [100/1407], 损失: 1.8872, 平均损失: 2.0246
周期 [1/30], 批次 [110/1407], 损失: 2.0191, 平均损失: 2.0162
周期 [1/30], 批次 [120/1407], 损失: 1.9318, 平均损失: 2.0079
周期 [1/30], 批次 [130/1407], 损失: 2.0541, 平均损失: 2.0093
周期 [1/30], 批次 [140/1407], 损失: 1.9798, 平均损失: 2.0030
周期 [1/30], 批次 [150/1407], 损失: 1.8858, 平均损失: 1.9985
周期 [1/30], 批次 [160/1407], 损失: 1.7783, 平均损失: 1.9879
周期 [1/30], 批次 [170/1407], 损失: 2.1353, 平均损失: 1.9806
周期 [1/30], 批次 [180/1407], 损失: 1.8443, 平均损失: 1.9756
